Tracker,Number,Start Date,Time,Related to,Detail,Priority,End Date,Status
Change Request,40-6151,10-Aug-2023,,,แจ้งลบ User WebAgent เนื่องจากมีพนักงานลาออก,LOW,10-Aug-2023,Completed
Change Request,41-6131,11-Aug-2023,11-12/08/2023,,แจ้งขอเปลี่ยนเวลาปิด/เปิด ฟังก์ชั่นสินเชื่อธนาคารไทยเครดิต,LOW,12-Aug-2023,Completed
Customer Inquiry,6096,2-Aug-2023,,,ด่วน!! แจ้งตรวจสอบ File Binding History as of 25/07/2023 เนื่องจากไม่พบข้อมูลในไฟล์,LOW,,
Support,,4-Aug-2023,,,จัดทำ BatchScript (Support PCC),,9-Aug-2023,Ongoing
Customer Inquiry,6154,4-Aug-2023,,,"ด่วน!!! แจ้งตรวจสอบTransaction ""SETTLE"" ของรายการ PAYMENT cut off ข้ามวัน ตั้งแต่วันที่ 26/7/2023",LOW,,Ongoing
Customer Inquiry,6196,10-Aug-2023,,,TCRB แจ้งตรวจสอบรายการโอนเงินเข้า E-wallet ว่าทำรายการสำเร็จหรือไม่ รายการวันที่ 10/08/2023,LOW,10-Aug-2023,Completed
Support,,17-Aug-2023,01:30 - 01:45,,Support Fine Tune database performance,LOW,17-Aug-2023,Completed
Change Request,,31-Aug-2023,00:20 - 02.30,Deploy,BOT Phase #2,LOW,31-Aug-2023,Hold On
DeployDR,,7-Sep-2023,,DeployDR,BOT Phase #2,,7-Sep-2023,Hold On
Support,,17-Sep-2023,01:30 - 06:30,,PCC DC Site Support การปิดบริการชั่วคราว ตามแผน Schedule Downtiome ของบริษัท,LOW,17-Sep-2023,Hold On
Support,6250,18-Sep-2023,,,แจ้งขอ log การตอบกลับจาก INFOMAX ขา API Confirm ของวันที่ 28/06/2023,LOW,18-Sep-2023,Completed
Support,,20-Aug-2023,1:50,Report,SETTLE_PROMPTPAY_TAG30 : Pending,,20-Aug-2023,Completed
Support,,22-Aug-2023,1:50,Report,"REPORT_WALLET_CONSUMER (ReportConsumer)
REPORT_MERCHANT_PROFILE
SETTLE_REQUEST_TO_PAY : มีรายการแล้ว",,22-Aug-2023,Completed
Support,6270,22-Aug-2023,,,แจ้งตรวจสอบ Report Wallet daily 20230821 และ Merchant Profile daily 20230821 ไม่มีข้อมูล,,22-Aug-2023,Completed
